id,headline,label
1,Ministry of interior don announce new identification card,politics
2,Douala carnival don record biggest attendance for dis year,entertainment
3,New football field don build for refugee camp in Adamawa,sports
4,New paramedic training program don launch for accident response,health
5,Ecobank don expand service to all ten region for Cameroon,business
6,Cameroonian tech company don list for Nairobi Securities Exchange,technology
7,New trade zone don open for Kribi special economic area,business
8,New online music community don connect Cameroonian artist,entertainment
9,Kontri education ministry don introduce coding in curriculum,technology
10,New kontri tax code amendment don benefit agri-business firm,business
11,New 4G tower dem don install for rural Adamawa region,technology
12,Free mental health support session don start for youth dem,health
13,Import duty on electronics don rise by fifteen percent today,business
14,Cameroonian rapper don feature on international music chart,entertainment
15,Kontri radio host don celebrate 20 years on national airwave,entertainment
16,New kontri fintech regulation don protect customer money,business
17,Cameroonian DJ don perform for big music event in Lagos,entertainment
18,Health ministry don distribute medicine to rural clinic dem,health
19,New kontri talent show don begin audition for next season,entertainment
20,PWD Bamenda don win Cameroon Cup final for Yaoundé,sports
21,Douala port expansion don complete final phase dis quarter,business
22,Kontri media house don launch digital news subscription today,technology
23,Cameroonian boxer don win gold for African championship fight,sports
24,Kontri health worker dem don receive new motorbike for work,health
25,FECAFOOT don change league format for upcoming season,sports
26,National team don arrive back home after successful tour,sports
27,Kontri military don do new officer promotion for ceremony,politics
28,Ministry don advise against self-medication with antibiotic,health
29,Cameroonian food processing firm don partner with French company,business
30,Minister of information don brief public on govament progress,politics
31,New comedy club don open for Yaoundé for entertainment fan,entertainment
32,Business permit process don simplify by ministry of trade,business
33,Cameroonian software developer dem don form new association,technology
34,Govament don create new commission for kontri reconciliation,politics
35,Ministry don crack down on illegal pharmacy dem for kontri,health
36,New cybersecurity training don begin for public servant dem,technology
37,Kontri radio program don celebrate 30 years on airwave,entertainment
38,"Digital skills training don reach over 10,000 youth dem",technology
39,Kontri supreme court don uphold presidential election result,politics
40,Cameroonian filmmaker don receive grant for new movie project,entertainment
41,Cameroonian machine translation system don cover pidgin now,technology
42,New skin disease treatment center don open for Maroua area,health
43,Cameroonian cyclist don train for Tour de France qualification,sports
44,Young kontri footballer don represent Africa at World Cup,sports
45,Cameroon don withdraw diplomat from neighboring Gabon today,politics
46,Kontri post office don launch digital parcel tracking system,technology
47,Cameroonian sprinter don win gold for All-Africa Games,sports
48,Cameroonian coffee cooperative don get fair trade certification,business
49,Kontri court don judge opposition leader for election case,politics
50,Cameroonian para athlete don win gold at Commonwealth Games,sports
51,New industrial park don plan near Douala for manufacturing,business
52,Kontri chamber of commerce don launch new mentorship scheme,business
53,Cameroon don train new batch of laboratory technician dem,health
54,Kontri doctor training program don reduce brain drain today,health
55,Govament don free some political prisoner dem from prison,politics
56,Cameroonian music producer don mentor new artist dem online,entertainment
57,New puppet theatre don bring joy for school pickin dem,entertainment
58,New physical education curriculum don update for school,sports
59,Free breast cancer screening don start for woman dem today,health
